Locations,Season,Leg,Longitude,Latitude
Central Park Bethesda Fountain,1,1,-73.97084,40.77429
 New York City John F Kennedy International Airport ,1,1,-73.97084,40.77429
 Johannesburg Lanseria Airport,1,1,27.92642,-25.93775
Victoria Falls ,1,1,25.85667,-17.92444
Batoka Gorge ,1,1,26.13083,-17.91972
Songwe Village  ,1,1,33.24475,-8.94784
Songwe Village ,1,2,33.24475,-8.94784
Livingstone ,1,2,-3.518068,55.90071
 Livingstone MosioaTunya National Park ,1,2,25.8225,-17.87556
Mukuni Village,1,2,25.93793,-17.90489
 Johannesburg South Africa Johannesburg International Airport ,1,2,28.24681,-26.13938
Eiffel Tower ,1,2,2.294481,48.85837
Arc de Triomphe ,1,2,2.295028,48.87379
Roue de Paris,1,3,2.25419,48.8091
Notre Dame de Paris ,1,3,2.349902,48.85297
"Mariage Frères [used the code to get latitude and longitude geocode(""30 rue du Bourg-Tibourg 75004 Paris France"")]",1,3,2.356503,48.85771
Hotel de Ville ,1,3,2.358279,48.85343
Place du Chatelet,1,3,6.027356,50.42661
Gare de Lyon ,1,3,2.37393,48.84472
Les Baux de Provence Chateau des Baux ,1,3,4.79686,43.74434
Marseille Ferry Port ,1,4,5.36978,43.29648
Sidi Bou Said ,1,4,10.34137,36.86983
Tunis Bab Bhar ,1,4,10.17663,36.79692
El Djem ,1,4,10.70415,35.29233
Tataouine ,1,5,10.45,32.93333
 Ksar Hadada ,1,5,10.31389,33.1
Sahara ,1,5,-116.6091,33.88338
Sahara Ksar Ghilane French Camel Outpost ,1,5,9.633333,33
Sahara Ksar Ghilane ,1,5,9.633333,33
Gabes,1,6,10.11667,33.88333
Carthage International Airport,1,6,10.22694,36.85111
Rome Colosseum,1,6,12.49223,41.89021
Vatican City  ,1,6,12.45339,41.90292
 Rome Palazzo dei Conservatori ,1,6,12.48274,41.89311
 Rome Roma Termini railway station ,1,6,12.502,41.90156
Modena Pagani Auto Factory ,1,6,10.92009,44.64884
Sant'Agata Bolognese Town Square ,1,6,9.747299,44.95943
 Ferrara Aeroclub Volovelistico Ferrarese ,1,7,11.61979,44.83812
Ferrara Castello Estense ,1,7,11.61957,44.83776
 Ferrara Ferrara railway station ,1,7,11.61979,44.83812
 Rome Leonardo da Vinci International Airport,1,7,12.24624,41.79989
Delhi Red Fort  Chandni Chowk ,1,7,77.24102,28.65616
Agra Taj Khema Hotel ,1,7,78.00807,27.17667
Agra Taj Mahal,1,8,78.04216,27.17502
Agra Jantar Mantar ,1,8,78.00807,27.17667
Jaipur Palace of the Winds,1,8,75.78727,26.91243
 Jaipur Amber Fort or Jal Mahal,1,8,75.85135,26.98549
 Jaipur ,1,8,75.78727,26.91243
Deshnoke Karni Mata Temple ,1,8,73.34112,27.79096
Bikaner Laxmi Niwas Palace ,1,8,73.3,28.01
Bikaner,1,9,73.3,28.01
 Delhi Indira Gandhi International Airport ,1,9,77.09996,28.55616
Bangkok Temple of Dawn ,1,9,100.4885,13.74392
Bangkok Temple of the Reclining Buddha ,1,9,100.4926,13.75143
Kanchanaburi ,1,9,99.53281,14.02278
Krabi Tiger Cave Temple ,1,9,98.92479,8.124411
Railay Beach ,1,10,98.83684,8.013119
Railay Beach ,1,10,98.83684,8.013119
Bor Tor Ao Luk ,1,10,98.90628,8.0863
Chicken Island,1,10,98.90628,8.0863
Pai Plong ,1,10,100.1008,19.65205
 Phuket Phuket International Airport ,1,11,98.30646,8.111095
Beijing Jingshan Park Top Pavilion ,1,11,116.4074,39.90421
Beijing Hongqiao Market,1,11,116.4206,39.88628
Beijing Donghuamen Night Market  Stall  57 ,1,11,116.4074,39.90421
Beijing Tiantan Park Temple of Heaven Park South Gate ,1,11,116.4128,39.8837
Beijing Tiantan Park,1,12,116.4128,39.8837
Jyng Pass ,1,12,116.4448,39.96116
Beijing Capital International Airport ,1,12,116.6031,40.07986
"North Country Bed and Breakfast (used location PO Box 13505 Trapper Creek, Alaska 99683)",1,12,-150.8917,62.5302
Scotty Lake ,1,12,-143.4866,66.82018
Matanuska Glacier ,1,12,-148.3257,61.78853
near Denali State Park ,1,12,-150.0533,62.77
Wilderness Cabin ,1,12,-106.7268,36.37689
"Tokosha Mountain Lodge (used P.O. Box 13188, Denali National Park and Preserve, AK) http://www.tripadvisor.com/Hotel_Review-g143022-d207136-Reviews-Tokosha_Mountain_Lodge-Denali_National_Park_and_Preserve_Alaska.html",1,13,-150.5,63.33333
Talkeetna Fish Lake ,1,13,-150.0613,62.25054
 Anchorage Ted Stevens Anchorage International Airport ,1,13,-149.9901,61.17589
Queens New York City New York Vincent Daniels Square,1,13,-73.91348,40.74405
New York City Flushing Meadows Park Unisphere ,1,13,-73.84506,40.74638
Pahrump Nevada United States  Starting line,2,1,-115.9839,36.20829
 Las Vegas McCarran International Airport,2,1,-115.1537,36.084
Rio de Janeiro Christ the Redeemer,2,1,-43.21049,-22.95192
 Paquetá Island Fat Maria,2,1,-43.10808,-22.76608
Paquetá Island Lido Hotel  Ilha Tours,2,1,-43.10808,-22.76608
Rio de Janeiro Sugarloaf Mountain ,2,1,-43.15458,-22.94926
Rio de Janeiro Tocorimé Yacht near Urca Beach ,2,1,-43.1729,-22.90685
Barra da Tijuca Acadêmicos da Barra da Tijuca  Samba Club ,2,2,-43.36589,-23.00037
Rio de Janeiro Copacabana Beach ,2,2,-43.18698,-22.97627
Rio de Janeiro Pedra Bonita ,2,2,-43.27861,-22.98722
 Rio de Janeiro Terminal Rodoviário Novo Rio ,2,2,-43.20954,-22.89898
Iguazu Falls,2,2,-54.43667,-25.69526
Iguazu National Park  ,2,2,-54.45725,-25.6905
Foz do Iguazu International Airport ,2,3,-54.48664,-25.59522
 Cape Town Nelson Mandela Gateway Victoria  Alfred Waterfront,2,3,18.42406,-33.92487
Robben Island Section B Cell 5,2,3,18.37123,-33.80761
 Robben Island ,2,3,18.37123,-33.80761
Kalk Bay Harbour ,2,3,18.44696,-34.12923
Stellenbosch Mooiberge Strawberry Field ,2,3,18.86015,-33.9321
 Kalk Bay Kalk Bay Station ,2,3,18.45001,-34.12614
Langa,2,3,18.53148,-33.94451
Stellenbosch Lanzerac Manor ,2,3,18.86015,-33.9321
Cape Town International Airport,2,4,18.60209,-33.97146
Swakopmund Lighthouse 5,2,4,14.52418,-22.67609
Swakopmund Hotel ,2,4,14.53333,-22.68333
Swakopmund Matterhorn Sand Dune at D1984 ,2,4,14.53333,-22.68333
Spitzkoppe,2,4,15.19417,-21.82472
