Team,Relationship,Season
Rob & Brennan,Lawyers/Best Friends,1
Frank & Margarita,Separated Parents,1
Joe & Bill,Life Partners,1
Kevin & Drew,Fraternity Brothers,1
Nancy & Emily,Mother/Daughter,1
Lenny & Karyn,Dating,1
Paul & Amie,Engaged,1
Dave & Margaretta,Grandparents,1
Pat & Brenda,Working Moms,1
Kim & Leslie,Teachers/Roommates,1
Matt & Ana,Married,1
Chris & Alex,Lifelong Friends,2
Tara & Wil,Separated Couple,2
Blake & Paige,Brother/Sister,2
Oswald & Danny,Best Friends,2
Gary & Dave,Former Roommates,2
Mary & Peach,Sisters,2
Cyndi & Russell,Pastors/Married Parents,2
Shola & Doyin,Twins,2
Peggy & Claire,Grandmothers,2
Hope & Norm,Married Parents,2
Deidre & Hillary,Mother/Daughter,2
Flo & Zach,Friends,3
Teri & Ian,Married Parents,3
Ken & Gerard,Brothers,3
Derek & Drew,Twins/Models,3
John Vito & Jill,Dating,3
Andre & Damon,Cop & Fireman,3
Aaron & Arianne,Lifelong Friends,3
Michael & Kathy,Long-Distance Dating,3
Heather & Eve,Law School Roommates,3
Dennis & Andrew,Father/Son,3
Tramel & Talicia,Brother/Sister,3
Gina & Sylvia,Soccer Moms,3
Reichen & Chip,Married,4
Kelly & Jon,Engaged,4
David & Jeff,Best Friends,4
Jon & Al,Best Friends/Clowns,4
Millie & Chuck,Dating 12 Years/Virgins,4
Tian & Jaree,Friends/Models,4
Monica & Sheree,NFL Wives/Moms,4
Steve & Dave,Air Traffic Controllers,4
Steve & Josh,Father/Son,4
Russell & Cindy,Friends/Dating,4
Amanda & Chris,Dating,4
Debra & Steve,Married Parents,4
Chip & Kim,Married Parents,5
Colin & Christie,Dating,5
Brandon & Nicole,Dating/Models,5
Linda & Karen,Bowling Moms,5
Kami & Karli,Twins,5
Charla & Mirna,Cousins,5
Marshall & Lance,Brothers,5
Bob & Joyce,Internet Dating Couple,5
Jim & Marsha,Military Dad & Daughter,5
Alison & Donny,Dating,5
Dennis & Erika,Once Engaged,5
Freddy & Kendra,Engaged Models,6
Kris & Jon,Dating Long Distance,6
Adam & Rebecca,Formerly Dating,6
Hayden & Aaron,Dating Actors,6
Lori & Bolo,Married Pro Wrestlers,6
Jonathan & Victoria,Married Entrepreneurs,6
Gus & Hera,Father/Daughter,6
Don & Mary Jean,Grandparents,6
Lena & Kristy,Sisters,6
Meredith & Maria,Best Friends,6
Avi & Joe,High School Buddies,6
Uchenna & Joyce,Married,7
Rob & Amber,Engaged,7
Ron & Kelly,Former POW/Pageant Queen,7
Meredith & Gretchen,Married/Retired,7
Lynn & Alex,Boyfriends,7
Brian & Greg,Brothers,7
Ray & Deana,Dating On and Off,7
Susan & Patrick,Mother/Son,7
Debbie & Bianca,Lifelong Friends,7
Megan & Heidi,Roommates,7
Ryan & Chuck,Best Friends,7
Linz Family,Siblings,8
Bransen Family,Dad and Daughters,8
Weaver Family,Widow and Kids,8
Godlewski Family,Sisters,8
Paolo Family,"Dad, Mom and Kids",8
Gaghan Family,"Dad, Mom and Kids",8
Schroeder Family,"Dad, Step-Mom and Kids",8
Aiello Family,Father and Sons-in-Law,8
Rogers Family,"Dad, Mom and Kids",8
Black Family,"Dad, Mom and Kids",8
BJ & Tyler,Best Friends,9
Eric & Jeremy,Friends,9
Ray & Yolanda,Dating,9
Joseph & Monica,Dating,9
Fran & Barry,Married 40 Years,9
Lake & Michelle,Married Parents,9
Dave & Lori,Dating,9
Danielle & Dani,Childhood Friends,9
Wanda & Desiree,Mother/Daughter,9
Lisa & Joni,Sisters,9
John & Scott,Lifelong Friends,9
Tyler & James,Models,10
Rob & Kimberly,Dating,10
Lyn & Karlyn,Single Moms/Friends,10
Dustin & Kandice,Beauty Queens,10
Erwin & Godwin,Brothers,10
David & Mary,Coalminer and Wife,10
Peter & Sarah,Recently Dating,10
Tom & Terry,Boyfriends,10
Duke & Lauren,Father/Daughter,10
Kellie & Jamie,Cheerleaders,10
Vipul & Arti,Married,10
Bilal & Sa'eed,Best Friends,10
Eric & Danielle,Dating,11
Dustin & Kandice,Beauty Queens,11
Charla & Mirna,Cousins,11
Oswald & Danny,Best Friends,11
Uchenna & Joyce,Married,11
Joe & Bill,Life Partners,11
Teri & Ian,Married Parents,11
Rob & Amber,Newlyweds,11
David & Mary,Coalminer and Wife,11
Kevin & Drew,Lifelong Friends,11
John Vito & Jill,Formerly Dating,11
TK & Rachel,Newly Dating,12
Ronald & Christina,Father/Daughter,12
Nicolas & Donald,Grandson/Grandfather,12
Nathan & Jennifer,Dating,12
Kynt & Vyxsin,Dating Goths,12
Azaria & Hendekea,Brother/Sister,12
Shana & Jennifer,Friends,12
Lorena & Jason,Dating,12
Marianna & Julia,Sisters,12
Kate & Pat,Married Ministers,12
Ari & Staella,Best Friends,12
Nick & Starr,Brother / Sister,13
Ken & Tina,Separated,13
Andrew & Dan,Frat Boys,13
Toni & Dallas,Mother / Son,13
Terence & Sarah,Newly Dating,13
Kelly & Christy,Divorcees,13
Aja & Ty,Dating Long Distance,13
Marisa & Brooke,Southern Belles,13
Mark & Bill,Best Friends,13
Anthony & Stephanie,Dating,13
Anita & Arthur,Married Beekeepers,13
Tammy & Victor,Siblings/Lawyers,14
Jaime & Cara,Former NFL Cheerleaders,14
Margie & Luke,Mother/Son,14
Kisha & Jen,Sisters,14
Mark & Michael,Brothers/Stuntmen,14
Mel & Mike,Father/Son,14
Christie & Jodi,Flight Attendants,14
Amanda & Kris,Dating,14
Brad & Victoria,Married,14
Steve & Linda,Married,14
Preston & Jennifer,Dating,14
Meghan & Cheyne,Dating,15
Sam & Dan,Brothers,15
Brian & Ericka,Married,15
Flight Time & Big Easy,Harlem Globetrotters,15
Gary & Matt,Father/Son,15
Maria & Tiffany,Professional Poker Players,15
Mika & Canaan,Newly Dating,15
Lance & Keri,Engaged,15
Zev & Justin,Friends,15
Marcy & Ron,Dating,15
Garrett & Jessica,Dating On & Off,15
Eric & Lisa,Married Yoga Teachers,15
Dan & Jordan,Brothers,16
Jet & Cord,Brothers/Cowboys,16
Brent & Caite,Dating Models,16
Louie & Michael,Detectives,16
Carol & Brandy,Dating,16
Steve & Allie,Father/Daughter,16
Jordan & Jeff,Newly Dating,16
Joe & Heidi,Married,16
Monique & Shawne,Moms/Attorneys,16
Jody & Shannon,Grandmother/Granddaughter,16
Dana & Adrian,High School Sweethearts,16
Nat & Kat,Doctors,17
Brook & Claire,Home Shopping Hosts,17
Jill & Thomas,Dating,17
Nick & Vicki,Dating,17
Chad & Stephanie,Newly Dating/Engaged,17
Gary & Mallory,Father/Daughter,17
Michael & Kevin,Father/Son,17
Katie & Rachel,Beach Volleyball Partners,17
Connor & Jonathan,Ivy League A Cappella Singers,17
Andie & Jenna,Birth Mom/Daughter,17
Ron & Tony,Best Friends,17
Kisha & Jen,Sisters,18
Flight Time & Big Easy,Harlem Globetrotters,18
Gary & Mallory,Father/Daughter,18
Zev & Justin,Best Friends,18
Kent & Vyxsin,Dating Goths,18
Jet & Cord,Cowboys,18
Ron & Christina,Father/Daughter,18
Margie & Luke,Mother/Son,18
Jaime & Cara,Former NFL Cheerleaders,18
Mel & Mike,Father/Son,18
Amanda & Kris,Engaged,18
Ernie & Cindy,Engaged,19
Jeremy & Sandy,Dating,19
Amani & Marcus,Married,19
Andy & Tommy,Pro Snowboarders,19
Bill & Cathi,Grandparents,19
Laurence & Zac,Father/Son Adventurers,19
Justin & Jennifer,Siblings,19
Liz & Marie,Twins,19
Kaylani & Lisa,Former Vegas Showgirls,19
Ethan & Jenna,Dating,19
Ron & Bill,Domestic Partners,19
Rachel & Dave,Army Wife & Combat Pilot,20
Art & JJ,Border Patrol Agents,20
Brendon & Rachel,PhD Student & Event Hostess,20
Vanessa & Ralph,Dating Divorcees,20
Bopper & Mark,Best Friends,20
Nary & Jamie,Federal Agents,20
Joey & Danny,Trainer & Club Promoter,20
Kerri & Stacy,Cousins,20
Elliot & Andrew,Twins,20
Dave & Cherie,Married Clowns,20
Misa & Maiya,Sisters,20
Josh & Brent,Goat Farmers,21
Jaymes & James,Chippendales,21
Trey & Lexi,Dating,21
Natalie & Nadiya,Twins,21
Abbie & Ryan,Dating Divorcees,21
James & Abba,Rock Star/Lawyer,21
Rob & Kelley,Married Monster Truckers,21
Gary & Will,Substitute Teachers,21
Caitlin & Brittany,Best Friends,21
Amy & Daniel,Dating On and Off,21
Rob & Sheila,Lumberjack/Marketing Exec,21
Bates & Anthony,Hockey Brothers,22
Max & Katie,Newlyweds,22
Mona & Beth,Roller Derby Moms,22
Caroline & Jennifer,Country Singers,22
Joey & Meghan,YouTube Hosts,22
Chuck & Wynona,Married,22
Pam & Winnie,Best Friends,22
Dave & Connor,Father/Son,22
Jessica & John,Dating,22
Idries & Jamil,Twin Doctors,22
Matt & Daniel,Firefighters,22
Jason & Amy,Dating,23
Tim & Marie,Exes,23
Nicole & Travis,Married ER Doctors,23
Leo & Jamal,Cousins,23
Ally & Ashley,NHL Ice Crew,23
Nicky & Kim,Baseball Wives,23
Tim & Danny,Best Friends,23
Brandon & Adam,Childhood Friends,23
Chester & Ephraim,Former NFL Teammates,23
Rowan & Shane,Theatre Performers,23
Hoskote & Naina,Father/Daughter,23
Dave & Connor,Father/Son,24
Caroline & Jennifer,Country Singers,24
Brendon & Rachel,Newlyweds,24
Leo & Jamal,Cousins,24
Jet & Cord,Cowboys,24
Flight Time & Big Easy,Harlem Globetrotters,24
Jessica & John,Engaged,24
Margie & Luke,Mother/Son,24
Joey & Meghan,YouTube Hosts,24
Mark & Mallory,Team Kentucky,24
Natalie & Nadiya,Twins,24
Amy & Maya,Food Scientists,25
Misti & Jim,Married Dentists,25
Adam & Bethany,Newlyweds,25
Brooke & Robbie,Dating Pro Wrestlers,25
Kym & Alli,Urban Bike Racers,25
Tim & Te Jay,College Sweethearts,25
Shelley & Nici,Mother/Daughter,25
Keith & Whitney,Engaged,25
Michael & Scott,Firefighters,25
Dennis & Isabelle,Newly Dating,25
Lisa & Michelle,Realtor Sisters,25
